class,precision,recall,f1,support
Arial,1.0,1.0,1.0,150
Bookman,1.0,1.0,1.0,150
Calibri,0.9864864864864865,0.9733333333333334,0.9798657718120806,150
Candara,0.9738562091503268,0.9933333333333333,0.9834983498349835,150
CenturyGothic,1.0,1.0,1.0,150
ComicSansMS,0.9675324675324676,0.9933333333333333,0.9802631578947368,150
CourierNew,1.0,1.0,1.0,150
FranclinGothic,1.0,1.0,1.0,150
Garamond,0.9868421052631579,1.0,0.9933774834437086,150
Georgia,1.0,1.0,1.0,150
Helvetica,0.9867549668874173,0.9933333333333333,0.9900332225913622,150
Lobster,1.0,0.9666666666666667,0.983050847457627,150
LucidaSans,1.0,1.0,1.0,150
MS_Sans_Serif,0.974025974025974,1.0,0.9868421052631579,150
MonotypeCorsiva,1.0,0.98,0.98989898989899,150
Palatino,1.0,1.0,1.0,150
SegoeUI,1.0,1.0,1.0,150
TimesNewRoman,1.0,1.0,1.0,150
TrebuchetMS,0.9931506849315068,0.9666666666666667,0.9797297297297298,150
Verdana,0.9933333333333333,0.9933333333333333,0.9933333333333333,150
