,Arial,Bookman,Calibri,Candara,CenturyGothic,ComicSansMS,CourierNew,FranclinGothic,Garamond,Georgia,Helvetica,Lobster,LucidaSans,MS_Sans_Serif,MonotypeCorsiva,Palatino,SegoeUI,TimesNewRoman,TrebuchetMS,Verdana
Arial,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bookman,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calibri,0,0,146,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candara,0,0,1,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenturyGothic,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComicSansMS,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CourierNew,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0
FranclinGothic,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
Garamond,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0
Helvetica,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,1,0
Lobster,0,0,0,0,0,5,0,0,0,0,0,145,0,0,0,0,0,0,0,0
LucidaSans,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0
MS_Sans_Serif,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
MonotypeCorsiva,0,0,1,0,0,0,0,0,2,0,0,0,0,0,147,0,0,0,0,0
Palatino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0
SegoeUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0
TimesNewRoman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0
TrebuchetMS,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,145,0
Verdana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,149
